year,title,artist,id,uri,rank,genre,cover,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode,time_signature,duration_ms,start_time
1946,Symphony,Freddy Martin,5WwsOFIPbfmLmu7xcxEnUo,spotify:track:5WwsOFIPbfmLmu7xcxEnUo,1,Jazz,FALSE,0.308,0.172,7,-12.093,0.0356,0.902,0.0126,0.165,0.243,119.056,1,4,195213,1:49
1946,Symphony,Freddy Martin,5WwsOFIPbfmLmu7xcxEnUo,spotify:track:5WwsOFIPbfmLmu7xcxEnUo,1,Jazz,FALSE,0.308,0.172,7,-12.093,0.0356,0.902,0.0126,0.165,0.243,119.056,1,4,195213,1:49
1946,I Can't Begin To Tell You - Single Version,Bing Crosby,22b0w2VmAj51WGEL5H8PQp,spotify:track:22b0w2VmAj51WGEL5H8PQp,2,Pop,FALSE,0.566,0.125,7,-21.128,0.0404,0.966,0.189,0.114,0.323,97.665,1,4,174600,0:08
1946,Let It Snow! Let It Snow! Let It Snow!,Vaughn Monroe,75Sx3XuVfvyOL9k02ylrA0,spotify:track:75Sx3XuVfvyOL9k02ylrA0,3,Pop,FALSE,0.516,0.399,2,-6.123,0.03,0.988,0.097,0.399,0.478,118.196,1,4,188280,0:29
1946,"Doctor, Lawyer, Indian Chief",Betty Hutton,3beq9XZer07zWfMAQFbcWr,spotify:track:3beq9XZer07zWfMAQFbcWr,4,Pop,FALSE,0.7,0.239,8,-12.198,0.321,0.819,0,0.138,0.939,176.562,1,4,184827,0:05
1946,Personality,Johnny Mercer,2qkqnpWaSM6zWqDpQWaFEL,spotify:track:2qkqnpWaSM6zWqDpQWaFEL,5,Pop,FALSE,0.741,0.147,5,-16.563,0.0613,0.894,0,0.126,0.827,134.465,1,4,169627,0:15
1946,Oh! What It Seemed to Be,Frankie Carle,584qaYkg1VK6TGWBOtJIEB,spotify:track:584qaYkg1VK6TGWBOtJIEB,6,Pop,FALSE,0.644,0.463,7,-14.6,0.0304,0.567,0.0392,0.412,0.811,105.297,1,3,115133,1:09
1946,I'm A Big Girl Now,Sammy Kaye,29V4bAgNvmdKoLHdwaUcNw,spotify:track:29V4bAgNvmdKoLHdwaUcNw,7,Jazz,FALSE,0.635,0.0746,10,-12.799,0.0637,0.959,0,0.112,0.631,86.312,1,4,188720,1:08
1946,Prisoner of Love (with Russ Case & His Orchestra & Chorus),Perry Como,14lgH3pas87OwAfFrouSSe,spotify:track:14lgH3pas87OwAfFrouSSe,8,Pop,FALSE,0.241,0.162,2,-12.322,0.0313,0.751,0.00133,0.434,0.207,78.141,1,1,209360,0:16
1946,The Gypsy,The Ink Spots,7BgoqkiAizIyTOO2kwW8qh,spotify:track:7BgoqkiAizIyTOO2kwW8qh,9,Jazz,FALSE,0.511,0.122,0,-15.418,0.0535,0.803,0,0.11,0.217,76.652,1,4,164533,0:13
1946,Surrender,Perry Como,2xJ7bgfSCFwWZfe7V9uXuh,spotify:track:2xJ7bgfSCFwWZfe7V9uXuh,10,Pop,FALSE,0.273,0.106,7,-17.009,0.0386,0.987,0.141,0.265,0.112,80.062,1,1,,0:17
1946,To Each His Own,Eddy Howard,4xRdYnoXKNDPPrEicGPGCe,spotify:track:4xRdYnoXKNDPPrEicGPGCe,11,Jazz,TRUE,0.344,0.0596,3,-16.766,0.0394,0.947,5.95E-05,0.181,0.15,81.037,1,4,184293,0:14
1946,To Each His Own,Freddy Martin,30DdFWh1NTB1Tx13bV7rDA,spotify:track:30DdFWh1NTB1Tx13bV7rDA,12,Jazz,TRUE,0.168,0.223,7,-11.985,0.0372,0.986,0.0619,0.361,0.287,75.134,1,4,191307,1:07
1946,Five Minutes More,Frank Sinatra,6o6iYc6B1O8Qa0zMTTrno6,spotify:track:6o6iYc6B1O8Qa0zMTTrno6,13,Pop,FALSE,0.7,0.171,9,-11.892,0.0567,0.898,0,0.0747,0.599,142.84,1,4,155160,0:18
1946,To Each His Own - Single Version,The Ink Spots,2DNu5fJQ6JrZhI7Lhsvqsg,spotify:track:2DNu5fJQ6JrZhI7Lhsvqsg,14,Jazz,TRUE,0.457,0.0707,3,-16.785,0.0759,0.976,3.89E-05,0.103,0.218,105.005,1,3,190040,0:13
1946,Ole Buttermilk Sky,,0qzDapdyfj3obwzqaMcfBB,spotify:track:0qzDapdyfj3obwzqaMcfBB,16,Pop,FALSE,0.565,0.262,0,-9.606,0.0413,0.91,0,0.358,0.803,168.387,1,4,175147,0:09
1946,The Old Lamp-Lighter,Sammy Kaye,2krjpKeibbelvxHL0sgdSq,spotify:track:2krjpKeibbelvxHL0sgdSq,17,Pop,FALSE,0.424,0.141,2,-16.554,0.0394,0.993,5.10E-05,0.102,0.335,94.656,1,4,181160,0:10
1946,Buzz Me,Louis Jordan,45DYoHLIm5KXC3sOe5pWFl,spotify:track:45DYoHLIm5KXC3sOe5pWFl,18,R&B/Soul,FALSE,0.69,0.305,,-9.83,0.0447,0.875,0,0.164,0.677,103.61,1,4,172560,0:26
1946,Hey Ba Ba Re Bop,Lionel Hampton and His Orchestra,49FelZVwWPVRwxqYcVb32O,spotify:track:49FelZVwWPVRwxqYcVb32O,19,Jazz,FALSE,0.68,0.353,0,-9.132,0.06,0.84,2.85E-05,0.068,0.852,133.789,1,4,201773,0:20
1946,Don't Worry 'Bout That Mule,Louis Jordan,5JGdHo4Fbs3FlExpgX2Wk6,spotify:track:5JGdHo4Fbs3FlExpgX2Wk6,20,Jazz,FALSE,0.686,0.3,7,-11.408,0.0935,0.516,0,0.0894,0.799,90.595,0,4,129627,0:24
1946,Stone Cold Dead In The Market,Ella Fitzgerald,7rTDkAb0bPcvA0z0zJaLwj,spotify:track:7rTDkAb0bPcvA0z0zJaLwj,21,Jazz,FALSE,0.761,0.466,1,-11.917,0.0759,0.568,0,0.226,0.909,93.106,1,4,158307,0:10
1946,Choo Choo Ch'Boogie,Louis Jordan,7h5vX0dpOU8SZQYcYnsEAh,spotify:track:7h5vX0dpOU8SZQYcYnsEAh,22,Jazz,FALSE,0.464,0.924,2,-9.592,0.113,0.695,0,0.112,0.741,185.323,0,4,138573,0:15
1947,(I Love You) For Sentimental Reasons,Nat King Cole,422alZE29Qxe1ql5a8l1aU,spotify:track:422alZE29Qxe1ql5a8l1aU,2,Jazz,FALSE,0.488,0.051,1,-18.664,0.0403,0.977,0.0084,0.112,0.342,72.059,1,4,173947,0:00
1947,"Managua, Nicaragua",Freddy Martin,4Yfcg83bpPnWt1hPBBifvD,spotify:track:4Yfcg83bpPnWt1hPBBifvD,4,Jazz,FALSE,0.703,0.278,7,-11.335,0.0446,0.927,3.40E-05,0.0763,0.788,122.956,,4,172280,1:11
1947,Heartaches,Ted Weems and His Orchestra,2UxSBKIO6ZsvJxLjYCVsqr,spotify:track:2UxSBKIO6ZsvJxLjYCVsqr,5,Jazz,TRUE,0.708,0.75,8,-10.771,0.0494,0.787,0.71,0.0778,0.894,132.773,1,4,160120,0:04
1947,Peg O' My Heart,The Harmonicats,7wOypVbv6u3sdnjBwLqFgO,spotify:track:7wOypVbv6u3sdnjBwLqFgO,7,Pop,FALSE,0.427,0.201,11,-11.632,0.0364,0.364,0.329,0.423,0.522,67.071,0,4,133813,0:45
1947,"Chi-Baba, Chi-Baba (My Bambino Go To Sleep)",Perry Como,2MxFk746e4LJmVUHm8OqDc,spotify:track:2MxFk746e4LJmVUHm8OqDc,8,Pop,FALSE,0.602,,10,-15.947,0.0513,0.992,0.000155,0.0739,0.623,87.787,1,4,176840,1:00
